"ACCOUNTID","BOOKAMOUNT","ASSETCLASSLEVEL1","EVENTDATE","TRADEDATE","QUANTITY","BOOKTOTALLOSS","BOOKTOTALGAIN"
159331,95.5,Equity,2024-07-12 00:00:00.000,2024-06-28 00:00:00.000,200,0,0
159331,85,Equity,2024-07-12 00:00:00.000,2024-06-28 00:00:00.000,200,0,0
159331,-180.5,Equity,2024-07-12 00:00:00.000,2024-07-12 00:00:00.000,180.5,0,0
159331,90.04,Equity,2024-07-12 00:00:00.000,2024-06-28 00:00:00.000,200,0,0
159331,5.46,Equity,2024-07-12 00:00:00.000,2024-06-28 00:00:00.000,200,0,0
159331,-95.5,Equity,2024-07-12 00:00:00.000,2024-06-28 00:00:00.000,200,0,0
159331,76.95,Equity,2024-07-15 00:00:00.000,2024-06-18 00:00:00.000,135,0,0
159331,175,Equity,2024-07-15 00:00:00.000,2024-06-28 00:00:00.000,500,0,0
159331,23.4,Equity,2024-07-15 00:00:00.000,2024-06-14 00:00:00.000,60,0,0
159331,122.5,Equity,2024-07-15 00:00:00.000,2024-06-28 00:00:00.000,250,0,0
159331,-397.85,Equity,2024-07-15 00:00:00.000,2024-07-15 00:00:00.000,397.85,0,0
159331,124,Equity,2024-07-24 00:00:00.000,2024-07-03 00:00:00.000,400,0,0
159331,-6131.74,Equity,2024-07-24 00:00:00.000,2024-07-24 00:00:00.000,6131.74,0,0
159331,6007.74,Equity,2024-07-24 00:00:00.000,2024-07-24 00:00:00.000,6007.74,0,0
159331,202.5,Equity,2024-07-25 00:00:00.000,2024-07-08 00:00:00.000,450,0,0
159331,-202.5,Equity,2024-07-25 00:00:00.000,2024-07-25 00:00:00.000,202.5,0,0
159331,273,Equity,2024-07-31 00:00:00.000,2024-07-17 00:00:00.000,300,0,0
159331,-273,Equity,2024-07-31 00:00:00.000,2024-07-31 00:00:00.000,273,0,0
159331,160.54,Equity,2024-07-31 00:00:00.000,2024-07-31 00:00:00.000,160.54,0,0
159331,-160.54,Equity,2024-08-01 00:00:00.000,2024-08-01 00:00:00.000,160.54,0,0
159331,180.4,Equity,2024-08-05 00:00:00.000,2024-07-29 00:00:00.000,220,0,0
159331,-180.4,Equity,2024-08-05 00:00:00.000,2024-08-05 00:00:00.000,180.4,0,0
159331,83.38,Equity,2024-08-05 00:00:00.000,2024-07-29 00:00:00.000,220,0,0
159331,97.02,Equity,2024-08-05 00:00:00.000,2024-07-29 00:00:00.000,220,0,0
159331,-180.4,Equity,2024-08-05 00:00:00.000,2024-07-29 00:00:00.000,220,0,0
159331,24.65,Equity,2024-08-07 00:00:00.000,2024-07-29 00:00:00.000,15,0,0
